"Date","Title","Artist","Peak_Position","Broad_Genre","Energy","Tempo","Danceability","Year","Rank","Valence","Rank_Group"
"5/20/17","Selfish","future",37,"Rap","0.369","95.746","0.415",2017,95,"0.0913","26-50"
"5/20/17","XXX.","kendrick lamar",33,"Rap","0.618","129.989","0.65",2017,79,"0.297","26-50"
"5/20/17","Yah.","kendrick lamar",32,"Rap","0.691","69.982","0.648",2017,89,"0.622","26-50"
"5/20/17","First Time","kygo",67,"EDM","0.592","90.066","0.633",2017,67,"0.679","51-75"
"5/20/17","Sweet Creature","harry styles",93,"Pop","0.262","104.085","0.427",2017,93,"0.228","76-100"
"5/13/17","Mercy","shawn mendes",15,"Pop","0.669","147.926","0.568",2017,48,"0.404","11 - 25"
"5/13/17","Deja Vu","j. cole",7,"Rap","0.409","174.324","0.653",2017,100,"0.187","1 - 10"
"5/13/17","Green Light","lorde",19,"Pop","0.731","128.851","0.598",2017,86,"0.229","11 - 25"
"5/13/17","No Frauds","nicki minaj, drake",14,"Rap","0.561","139.064","0.873",2017,95,"0.417","11 - 25"
"5/13/17","Still Got Time","zayn",66,"Pop","0.627","120.963","0.748",2017,81,"0.524","51-75"
"5/13/17","Feel.","kendrick lamar",35,"Rap","0.795","109.897","0.731",2017,69,"0.522","26-50"
"5/13/17","Pride.","kendrick lamar",37,"Rap","0.546","138.887","0.672",2017,71,"0.429","26-50"
"5/13/17","Lust.","kendrick lamar",42,"Rap","0.562","94.011","0.651",2017,75,"0.581","26-50"
"5/13/17","Fear.","kendrick lamar",50,"Rap","0.473","149.67","0.585",2017,91,"0.47","26-50"
"5/13/17","God.","kendrick lamar",58,"Rap","0.565","132.893","0.696",2017,96,"0.216","51-75"
"5/13/17","Lust For Life","lana del rey",64,"Pop","0.668","99.982","0.506",2017,64,"0.285","51-75"
"5/13/17","Hard Times","paramore",90,"Rock","0.818","119.965","0.695",2017,90,"0.916","76-100"
"4/8/17","Let Me Love You","dj snake",4,"EDM","0.713","100.023","0.652",2017,47,"0.152","1 - 10"
"4/8/17","Make Me (Cry)","noah cyrus",46,"Pop","0.471","152.881","0.588",2017,73,"0.209","26-50"
"4/8/17","Kill A Word","eric church",71,"Country","0.73","85.015","0.653",2017,96,"0.615","51-75"
"4/8/17","Lose You","drake",64,"Rap","0.576","87.983","0.519",2017,64,"0.373","51-75"
"4/8/17","Since Way Back","drake",70,"Rap","0.275","76.683","0.429",2017,70,"0.258","51-75"
"4/8/17","Skepta Interlude","drake",76,"Rap","0.813","129.962","0.801",2017,76,"0.403","76-100"
"4/8/17","Trap Trap Trap","rick ross",97,"Rap","0.838","136.869","0.729",2017,97,"0.349","76-100"
"4/29/17","Starboy","the weeknd",1,"R&B","0.595","185.998","0.675",2017,39,"0.491","1 - 10"
